time start,time end,amount,id spawn
0,6,93,1
0,6,30,2
0,6,33,3
0,6,48,4
0,6,57,5
0,6,81,6
0,6,171,7
0,6,57,8
0,6,192,9
0,6,112,10
0,6,166,11
0,6,63,12
0,6,42,13
0,6,116,14
0,6,237,15
0,6,29,16
0,6,106,17
0,6,46,18
0,6,99,19
0,6,44,20
0,6,46,21
0,6,5,22
0,6,1,23
0,6,3,24
0,6,10,25
0,6,44,26
0,6,24,27
0,6,60,28
0,6,45,29
0,6,51,30
0,6,32,31
0,6,84,32
0,6,38,33
0,6,154,34
0,6,86,35
0,6,192,36
0,6,15,37
,,,
6,12,76,1
6,12,58,2
6,12,68,3
6,12,35,4
6,12,83,5
6,12,84,6
6,12,190,7
6,12,117,8
6,12,120,9
6,12,99,10
6,12,163,11
6,12,20,12
6,12,66,13
6,12,167,14
6,12,191,15
6,12,49,16
6,12,107,17
6,12,98,18
6,12,46,19
6,12,65,20
6,12,54,21
6,12,8,22
6,12,4,23
6,12,17,24
6,12,13,25
6,12,72,26
6,12,71,27
6,12,79,28
6,12,50,29
6,12,78,30
6,12,94,31
6,12,83,32
6,12,60,33
6,12,126,34
6,12,55,35
6,12,0,36
6,12,45,37
,,,
12,18,47,1
12,18,51,2
12,18,48,3
12,18,22,4
12,18,43,5
12,18,70,6
12,18,133,7
12,18,26,8
12,18,84,9
12,18,50,10
12,18,84,11
12,18,104,12
12,18,59,13
12,18,112,14
12,18,15,15
12,18,22,16
12,18,72,17
12,18,52,18
12,18,31,19
12,18,38,20
12,18,27,21
12,18,8,22
12,18,10,23
12,18,15,24
12,18,16,25
12,18,34,26
12,18,42,27
12,18,39,28
12,18,29,29
12,18,46,30
12,18,32,31
12,18,75,32
12,18,53,33
12,18,91,34
12,18,81,35
12,18,69,36
12,18,29,37
,,,
18,24,31,1
18,24,35,2
18,24,33,3
18,24,23,4
18,24,35,5
18,24,52,6
18,24,87,7
18,24,22,8
18,24,44,9
18,24,38,10
18,24,59,11
18,24,74,12
18,24,52,13
18,24,83,14
18,24,110,15
18,24,30,16
18,24,50,17
18,24,38,18
18,24,19,19
18,24,30,20
18,24,23,21
18,24,12,22
18,24,12,23
18,24,10,24
18,24,14,25
18,24,27,26
18,24,37,27
18,24,36,28
18,24,39,29
18,24,33,30
18,24,27,31
18,24,63,32
18,24,42,33
18,24,54,34
18,24,49,35
18,24,66,36
18,24,25,37
,,,
24,30,36,1
24,30,31,2
24,30,34,3
24,30,23,4
24,30,40,5
24,30,59,6
24,30,90,7
24,30,45,8
24,30,59,9
24,30,50,10
24,30,62,11
24,30,73,12
24,30,38,13
24,30,95,14
24,30,120,15
24,30,23,16
24,30,59,17
24,30,48,18
24,30,29,19
24,30,33,20
24,30,30,21
24,30,19,22
24,30,17,23
24,30,16,24
24,30,19,25
24,30,40,26
24,30,33,27
24,30,45,28
24,30,35,29
24,30,29,30
24,30,28,31
24,30,105,32
24,30,54,33
24,30,64,34
24,30,54,35
24,30,62,36
24,30,32,37
,,,
30,36,38,1
30,36,31,2
30,36,40,3
30,36,26,4
30,36,39,5
30,36,76,6
30,36,97,7
30,36,25,8
30,36,61,9
30,36,47,10
30,36,58,11
30,36,80,12
30,36,45,13
30,36,103,14
30,36,106,15
30,36,31,16
30,36,56,17
30,36,43,18
30,36,26,19
30,36,38,20
30,36,16,21
30,36,18,22
30,36,28,23
30,36,19,24
30,36,22,25
30,36,54,26
30,36,32,27
30,36,46,28
30,36,36,29
30,36,30,30
30,36,21,31
30,36,120,32
30,36,56,33
30,36,64,34
30,36,45,35
30,36,46,36
30,36,40,37
,,,
36,42,105,1
36,42,44,2
36,42,40,3
36,42,28,4
36,42,45,5
36,42,97,6
36,42,72,7
36,42,31,8
36,42,62,9
36,42,38,10
36,42,67,11
36,42,83,12
36,42,68,13
36,42,101,14
36,42,115,15
36,42,53,16
36,42,65,17
36,42,46,18
36,42,21,19
36,42,40,20
36,42,18,21
36,42,23,22
36,42,40,23
36,42,20,24
36,42,28,25
36,42,65,26
36,42,48,27
36,42,66,28
36,42,47,29
36,42,43,30
36,42,17,31
36,42,187,32
36,42,85,33
36,42,66,34
36,42,57,35
36,42,62,36
36,42,41,37
,,,
42,48,62,1
42,48,50,2
42,48,42,3
42,48,59,4
42,48,53,5
42,48,119,6
42,48,129,7
42,48,41,8
42,48,74,9
42,48,49,10
42,48,98,11
42,48,114,12
42,48,83,13
42,48,122,14
42,48,145,15
42,48,64,16
42,48,54,17
42,48,40,18
42,48,38,19
42,48,49,20
42,48,25,21
42,48,37,22
42,48,42,23
42,48,27,24
42,48,65,25
42,48,101,26
42,48,160,27
42,48,177,28
42,48,107,29
42,48,110,30
42,48,20,31
42,48,235,32
42,48,106,33
42,48,106,34
42,48,75,35
42,48,78,36
42,48,33,37
,,,
48,54,56,1
48,54,58,2
48,54,35,3
48,54,44,4
48,54,35,5
48,54,128,6
48,54,121,7
48,54,36,8
48,54,75,9
48,54,64,10
48,54,95,11
48,54,98,12
48,54,77,13
48,54,131,14
48,54,16,15
48,54,52,16
48,54,77,17
48,54,58,18
48,54,29,19
48,54,46,20
48,54,32,21
48,54,34,22
48,54,59,23
48,54,49,24
48,54,64,25
48,54,102,26
48,54,79,27
48,54,102,28
48,54,62,29
48,54,66,30
48,54,39,31
48,54,194,32
48,54,114,33
48,54,98,34
48,54,91,35
48,54,90,36
48,54,38,37
,,,
54,60,47,1
54,60,36,2
54,60,40,3
54,60,33,4
54,60,55,5
54,60,99,6
54,60,90,7
54,60,47,8
54,60,69,9
54,60,52,10
54,60,99,11
54,60,159,12
54,60,77,13
54,60,126,14
54,60,181,15
54,60,33,16
54,60,78,17
54,60,27,18
54,60,26,19
54,60,42,20
54,60,42,21
54,60,25,22
54,60,43,23
54,60,36,24
54,60,52,25
54,60,69,26
54,60,49,27
54,60,83,28
54,60,33,29
54,60,33,30
54,60,33,31
54,60,151,32
54,60,66,33
54,60,86,34
54,60,61,35
54,60,94,36
54,60,52,37
,,,
60,66,50,1
60,66,41,2
60,66,46,3
60,66,33,4
60,66,72,5
60,66,110,6
60,66,125,7
60,66,34,8
60,66,74,9
60,66,67,10
60,66,97,11
60,66,109,12
60,66,70,13
60,66,137,14
60,66,135,15
60,66,27,16
60,66,58,17
60,66,38,18
60,66,24,19
60,66,36,20
60,66,29,21
60,66,23,22
60,66,37,23
60,66,28,24
60,66,41,25
60,66,59,26
60,66,41,27
60,66,58,28
60,66,39,29
60,66,39,30
60,66,37,31
60,66,165,32
60,66,79,33
60,66,84,34
60,66,74,35
60,66,97,36
60,66,62,37
,,,
66,72,93,1
66,72,49,2
66,72,47,3
66,72,41,4
66,72,64,5
66,72,117,6
66,72,120,7
66,72,30,8
66,72,88,9
66,72,85,10
66,72,109,11
66,72,114,12
66,72,71,13
66,72,137,14
66,72,151,15
66,72,26,16
66,72,77,17
66,72,46,18
66,72,31,19
66,72,42,20
66,72,35,21
66,72,30,22
66,72,31,23
66,72,28,24
66,72,36,25
66,72,74,26
66,72,45,27
66,72,49,28
66,72,58,29
66,72,41,30
66,72,40,31
66,72,168,32
66,72,87,33
66,72,97,34
66,72,84,35
66,72,109,36
66,72,75,37
,,,
72,78,57,1
72,78,43,2
72,78,46,3
72,78,37,4
72,78,81,5
72,78,115,6
72,78,108,7
72,78,35,8
72,78,83,9
72,78,73,10
72,78,97,11
72,78,125,12
72,78,62,13
72,78,151,14
72,78,172,15
72,78,40,16
72,78,80,17
72,78,64,18
72,78,29,19
72,78,39,20
72,78,39,21
72,78,33,22
72,78,40,23
72,78,33,24
72,78,37,25
72,78,71,26
72,78,45,27
72,78,47,28
72,78,44,29
72,78,37,30
72,78,38,31
72,78,171,32
72,78,83,33
72,78,84,34
72,78,67,35
72,78,81,36
72,78,67,37
,,,
78,84,43,1
78,84,52,2
78,84,46,3
78,84,42,4
78,84,48,5
78,84,121,6
78,84,93,7
78,84,34,8
78,84,80,9
78,84,48,10
78,84,87,11
78,84,117,12
78,84,56,13
78,84,152,14
78,84,132,15
78,84,51,16
78,84,76,17
78,84,34,18
78,84,23,19
78,84,40,20
78,84,23,21
78,84,55,22
78,84,48,23
78,84,34,24
78,84,44,25
78,84,74,26
78,84,37,27
78,84,47,28
78,84,33,29
78,84,34,30
78,84,22,31
78,84,160,32
78,84,86,33
78,84,82,34
78,84,61,35
78,84,60,36
78,84,67,37
,,,
84,90,30,1
84,90,31,2
84,90,44,3
84,90,42,4
84,90,29,5
84,90,85,6
84,90,81,7
84,90,26,8
84,90,62,9
84,90,36,10
84,90,71,11
84,90,78,12
84,90,52,13
84,90,107,14
84,90,99,15
84,90,36,16
84,90,46,17
84,90,30,18
84,90,18,19
84,90,37,20
84,90,16,21
84,90,33,22
84,90,38,23
84,90,21,24
84,90,28,25
84,90,71,26
84,90,20,27
84,90,37,28
84,90,23,29
84,90,24,30
84,90,20,31
84,90,110,32
84,90,55,33
84,90,52,34
84,90,47,35
84,90,42,36
84,90,48,37
,,,
90,96,15,1
90,96,15,2
90,96,22,3
90,96,27,4
90,96,22,5
90,96,54,6
90,96,39,7
90,96,12,8
90,96,28,9
90,96,22,10
90,96,56,11
90,96,57,12
90,96,36,13
90,96,71,14
90,96,61,15
90,96,17,16
90,96,39,17
90,96,19,18
90,96,13,19
90,96,33,20
90,96,14,21
90,96,15,22
90,96,26,23
90,96,17,24
90,96,22,25
90,96,46,26
90,96,10,27
90,96,45,28
90,96,11,29
90,96,19,30
90,96,13,31
90,96,70,32
90,96,40,33
90,96,32,34
90,96,39,35
90,96,30,36
90,96,27,37
,,,
96,102,8,1
96,102,12,2
96,102,12,3
96,102,26,4
96,102,28,5
96,102,38,6
96,102,23,7
96,102,9,8
96,102,20,9
96,102,13,10
96,102,15,11
96,102,53,12
96,102,44,13
96,102,68,14
96,102,59,15
96,102,10,16
96,102,27,17
96,102,17,18
96,102,8,19
96,102,20,20
96,102,16,21
96,102,13,22
96,102,38,23
96,102,28,24
96,102,43,25
96,102,39,26
96,102,9,27
96,102,32,28
96,102,15,29
96,102,24,30
96,102,19,31
96,102,53,32
96,102,38,33
96,102,17,34
96,102,35,35
96,102,17,36
96,102,24,37
